"panel","ex_super","condition","filter_id","filter","raw_n","spec","coef_conv","se_conv","pv_conv","coef_bc","se_robust","pv_robust","h_left","h_right","obs_h","error"
"panel_a","t","FULL","baseline","baseline",9550,"msetwo_fe",-0.0916038883412789,0.0381583088759671,0.0163669847034921,-0.0970764082000345,0.0416471019955435,0.019757141310112,0.0695350433884152,0.0751624664907868,1295,""
"panel_a","t","FULL","baseline","baseline",9550,"twomse_fe",-0.0690318986796755,0.0243295918063829,0.00454877750786653,-0.115803259754845,0.0372053631356906,0.00185483545615553,0.13907008677683,0.150324932981574,3297,""
"panel_a","t","FULL","baseline","baseline",9550,"h020_010_fe",-0.0579744502782503,0.0217064971080562,0.00756630570144628,-0.0810275864808805,0.031187749841708,0.00937526261314978,0.2,0.1,1966,""
"panel_a","t","FULL","baseline","baseline",9550,"h030_015_fe",-0.036885107519108,0.0151336052391484,0.014797474439286,-0.0703100693653129,0.0220099677183368,0.00140090318473561,0.3,0.15,3294,""
"panel_a","t","FULL","baseline","baseline",9550,"h040_020_fe",-0.0296959143362051,0.0133345574473456,0.0259480010399858,-0.0616283290446223,0.0198879315643578,0.00194319108061073,0.4,0.2,4813,""
"panel_a","t","FULL","baseline","baseline",9550,"msetwo_no_fe",-0.144619027035262,0.0381762143246693,0.000151744406104909,-0.166960779218925,0.0446452182323753,0.000184222663711197,0.0898988319515954,0.11027078585324,2179,""
"panel_a","t","FULL","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",7100,"msetwo_fe",-0.0647759820983402,0.0265864219829443,0.0148329999755061,-0.0648548150722569,0.029611248429262,0.0285091017736178,0.0846999620498042,0.099684398821941,1281,""
"panel_a","t","FULL","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",7100,"twomse_fe",-0.0288129321476259,0.0179151327519485,0.107769195668699,-0.0744717677785343,0.0268656202551487,0.00557113264844782,0.169399924099608,0.199368797643882,3118,""
"panel_a","t","FULL","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",7100,"h020_010_fe",-0.0321709280869806,0.0194161723820085,0.0975368609746162,-0.0533771753157274,0.0275342353986961,0.0525531326035264,0.2,0.1,1362,""
"panel_a","t","FULL","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",7100,"h030_015_fe",-0.0203564055214298,0.0143579631458878,0.156255563736856,-0.0461298700836235,0.0205863677701066,0.0250392306990234,0.3,0.15,2253,""
"panel_a","t","FULL","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",7100,"h040_020_fe",-0.0107516417595974,0.0128378388741788,0.40231369075528,-0.0440383835071456,0.0188750827294622,0.0196403178226924,0.4,0.2,3197,""
"panel_a","t","FULL","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",7100,"msetwo_no_fe",-0.0862812004405675,0.0270492643145442,0.0014238117161473,-0.0948043226196647,0.0325798575144262,0.00361537483035201,0.108247089931416,0.123761884555513,1683,""
"panel_a","t","FULL","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",4264,"msetwo_fe",-0.0855153289212418,0.0464613867644402,0.06568493112738,-0.101037580243145,0.0583838257782466,0.0835276214719162,0.0898403435098035,0.114342391555588,916,""
"panel_a","t","FULL","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",4264,"twomse_fe",-0.0370889035974878,0.0276303578345237,0.179490834192231,-0.079693652093782,0.0483144613782273,0.0990497001618626,0.179680687019607,0.228684783111177,2141,""
"panel_a","t","FULL","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",4264,"h020_010_fe",-0.0457740795557924,0.028682840926242,0.11051786580257,-0.0644998746099661,0.0460290369515308,0.161128374179244,0.2,0.1,812,""
"panel_a","t","FULL","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",4264,"h030_015_fe",-0.018663365527729,0.0189455812417007,0.324573049331547,-0.0608638446265797,0.0294878805966502,0.0390149542436781,0.3,0.15,1277,""
"panel_a","t","FULL","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",4264,"h040_020_fe",-0.00796015578904855,0.0166031876232671,0.631628919476494,-0.0532323876496072,0.0265148335142893,0.0446809700085429,0.4,0.2,1827,""
"panel_a","t","FULL","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",4264,"msetwo_no_fe",-0.124728934030401,0.0566007934011007,0.0275482273701851,-0.162521370979809,0.0688390253899683,0.0182311343300441,0.101056381617718,0.135454715611972,1104,""
"panel_a","t","Q1Q2","baseline","baseline",4531,"msetwo_fe",-0.0444899251184263,0.0353635284260333,0.208365103065495,-0.0475660263887753,0.038287840171634,0.214115852893673,0.159285870537609,0.103344873193599,1051,""
"panel_a","t","Q1Q2","baseline","baseline",4531,"twomse_fe",-0.0166697719133176,0.018518384306831,0.368027549991494,-0.0472289503412965,0.0307087090670027,0.124056929078766,0.318571741075218,0.206689746387198,2440,""
"panel_a","t","Q1Q2","baseline","baseline",4531,"h020_010_fe",-0.0403097104859314,0.0317117922560729,0.20368352595238,-0.0500209617795977,0.0493922311247104,0.311189458087723,0.2,0.1,1019,""
"panel_a","t","Q1Q2","baseline","baseline",4531,"h030_015_fe",-0.0189396692048557,0.0198105786327152,0.339052954069104,-0.0474437171334016,0.0320526702836231,0.138825252705489,0.3,0.15,1673,""
"panel_a","t","Q1Q2","baseline","baseline",4531,"h040_020_fe",-0.0123608703603979,0.0174194236971417,0.477950535125814,-0.0428842371335216,0.0288341788462528,0.136943258569901,0.4,0.2,2355,""
"panel_a","t","Q1Q2","baseline","baseline",4531,"msetwo_no_fe",-0.08674563497879,0.0486192689061205,0.0743940609785178,-0.0942094935482875,0.0604788531205851,0.119298168935789,0.0937051538325298,0.0783013566838872,742,""
"panel_a","t","Q1Q2","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",3422,"msetwo_fe",-0.00440444048080783,0.0362649101223238,0.903333149201147,-0.00521146002540018,0.0401265210730742,0.896664769774935,0.124169818840217,0.0669530489202147,464,""
"panel_a","t","Q1Q2","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",3422,"twomse_fe",-0.029832691779104,0.0263654792468341,0.257842278118754,-0.0184052125988262,0.0395570516300506,0.641729007330072,0.248339637680435,0.133906097840429,1018,""
"panel_a","t","Q1Q2","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",3422,"h020_010_fe",-0.0193417773827427,0.0296634135838776,0.514374385832982,-0.0143091153563615,0.0446205543205229,0.74844957608406,0.2,0.1,704,""
"panel_a","t","Q1Q2","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",3422,"h030_015_fe",-0.0124479377102438,0.0205400929806721,0.54449401870308,-0.0328735188386427,0.0322316699476762,0.307769434415622,0.3,0.15,1169,""
"panel_a","t","Q1Q2","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",3422,"h040_020_fe",-0.00319383872777001,0.018289012605154,0.861369151526469,-0.0392467521353283,0.0294674484038651,0.18290356169772,0.4,0.2,1567,""
"panel_a","t","Q1Q2","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",3422,"msetwo_no_fe",-0.0597118067219076,0.0368807661839739,0.105436492515311,-0.073328671709479,0.0425788046836159,0.0850356158090631,0.165949617568964,0.0822074119345376,551,""
"panel_a","t","Q1Q2","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",2133,"msetwo_fe",-0.0466534057140522,0.0612975791406116,0.446599111534424,-0.0535148872543709,0.0771907211278692,0.488133005474293,0.10222845618528,0.0762831154042947,305,""
