"sample","host_quarters","exact_ex_n","exact_ex_share","within1_ex_share","within2_ex_share","exact_first_share","exact_current_share","scraped_gt_ex_share","inside_gt_ex_share","median_diff_ex","mean_diff_ex","median_abs_diff_ex","mean_abs_diff_ex","median_scraped","median_inside_ex","single_listing_share","observed_all_calc_share","previous_scrape_share","best_ex_share","best_first_share","best_current_share"
"all_host_quarters",22656,6454,0.284869350282486,0.46923552259887,0.565148305084746,0.474046610169492,0.270259533898305,0.383750769862451,0.285003079449805,0,8.27884417983987,1,10.962995278177,9,8,0.856329449152542,0.803495762711864,0.0789636299435028,0.533719975364402,0.393143091767604,0.0731369328679942
"full_condition",22656,6454,0.284869350282486,0.46923552259887,0.565148305084746,0.474046610169492,0.270259533898305,0.383750769862451,0.285003079449805,0,8.27884417983987,1,10.962995278177,9,8,0.856329449152542,0.803495762711864,0.0789636299435028,0.533719975364402,0.393143091767604,0.0731369328679942
"panel_b_no_ex2",12095,4176,0.345266639107069,0.516990491938818,0.597933030177759,0.519140140553948,0.336916081025217,0.344731886212707,0.241351967489345,0,9.08018634156011,1,11.3430468827436,5,5,0.867135179826375,0.798759818106656,0.104257957833816,0.584497968084052,0.346714243235207,0.0687877886807414
"panel_b_ex2",882,240,0.272108843537415,0.488662131519274,0.603174603174603,0.486394557823129,0.306122448979592,0.341558441558442,0.346753246753247,0,4.00909090909091,1,6.34415584415584,7,7,0.837868480725624,0.789115646258503,0.0476190476190476,0.54025974025974,0.406493506493507,0.0532467532467532
"panel_b_single_listing",10488,3996,0.381006864988558,0.557589626239512,0.636250953470633,0.564549961861175,0.369279176201373,0.314463955637708,0.223890942698706,0,5.50138632162662,1,6.87939001848429,4,4,1,0.85173531655225,0.111746758199847,0.607093345656192,0.346233826247689,0.0466728280961183
"panel_b_observed_all_calc",9661,3707,0.383707690715247,0.568264154849395,0.650864299761929,0.585964185902081,0.374909429665666,0.272807682587819,0.258781905483952,0,1.21910538286581,1,3.25322213798332,4,5,0.924645481834179,1,0.118414242832005,0.574677786201668,0.379706848622694,0.0456153651756381
