"sample_id","sample","filter_id","filter","raw_n_panel_b","spec","coef_conv","se_conv","pv_conv","coef_bc","se_robust","pv_robust","h_left","h_right","obs_h","error"
"panel_b_ex2","ex_super=f & ex_super2=t","baseline","baseline",1181,"msetwo_fe",0.0237499409782269,0.056610616884957,0.674827687364214,0.0235571718377059,0.0643648544037928,0.714369305632001,0.161813353542966,0.075877763310096,440,""
"panel_b_ex2","ex_super=f & ex_super2=t","baseline","baseline",1181,"twomse_fe",0.0220847292022417,0.0338021427077759,0.51352877233886,0.0211631937316147,0.0453846502726032,0.640995554213053,0.323626707085933,0.151755526620192,637,""
"panel_b_ex2","ex_super=f & ex_super2=t","baseline","baseline",1181,"h020_010_fe",0.0181693712976064,0.0496846852886943,0.714593724259887,0.0399303984186486,0.0638153354085678,0.531499982505613,0.2,0.1,494,""
"panel_b_ex2","ex_super=f & ex_super2=t","baseline","baseline",1181,"h030_015_fe",0.0231321459766978,0.03487268523977,0.507118351516543,0.0232955422211026,0.0464932951687586,0.616334773801151,0.3,0.15,622,""
"panel_b_ex2","ex_super=f & ex_super2=t","baseline","baseline",1181,"h040_020_fe",0.0155412248076801,0.0292326314123092,0.594975624314878,0.0350948873753866,0.0396376492466664,0.375944839844913,0.4,0.2,673,""
"panel_b_ex2","ex_super=f & ex_super2=t","baseline","baseline",1181,"msetwo_no_fe",-0.0287878935142386,0.0511652071023269,0.573676036536695,-0.0386266318058531,0.0593690697052914,0.515292603197524,0.19308193307871,0.0754742269415783,460,""
"panel_b_ex2","ex_super=f & ex_super2=t","drop_av365_row0","drop row availability_365=0",1128,"msetwo_fe",0.00864677100304649,0.059693261664094,0.884826631676218,0.00364096988222412,0.0674128627344264,0.956927183244761,0.151434934605681,0.073765837637911,413,""
"panel_b_ex2","ex_super=f & ex_super2=t","drop_av365_row0","drop row availability_365=0",1128,"twomse_fe",0.00777444020341791,0.0345884742810933,0.822158456486475,-0.00549427394834554,0.0452070075743027,0.903266588426775,0.302869869211362,0.147531675275822,595,""
"panel_b_ex2","ex_super=f & ex_super2=t","drop_av365_row0","drop row availability_365=0",1128,"h020_010_fe",-0.00597426134673967,0.0496062000005317,0.90413954683003,0.0033052261812885,0.063278616988532,0.958343111898881,0.2,0.1,471,""
"panel_b_ex2","ex_super=f & ex_super2=t","drop_av365_row0","drop row availability_365=0",1128,"h030_015_fe",0.00832079976854813,0.0345052918917532,0.809442261533354,-0.00415000800560164,0.0450932320303844,0.92667283230036,0.3,0.15,595,""
"panel_b_ex2","ex_super=f & ex_super2=t","drop_av365_row0","drop row availability_365=0",1128,"h040_020_fe",0.00321434772728197,0.0289588717238166,0.911618729997481,0.0143431339667108,0.0383003633498416,0.708039195061261,0.4,0.2,643,""
"panel_b_ex2","ex_super=f & ex_super2=t","drop_av365_row0","drop row availability_365=0",1128,"msetwo_no_fe",-0.0632497976897979,0.0519986534249319,0.223842574283842,-0.0786539266286129,0.0600473895319295,0.19024177555736,0.188174470732447,0.0735292219126693,437,""
"panel_b_ex2","ex_super=f & ex_super2=t","drop_av365_sum0","drop quarter-sum availability_365=0",1138,"msetwo_fe",-0.00389553464651648,0.0608730398429376,0.948974672930242,-0.0119220726863519,0.0684597296250535,0.86174975142024,0.151887476080584,0.0755237678079489,419,""
"panel_b_ex2","ex_super=f & ex_super2=t","drop_av365_sum0","drop quarter-sum availability_365=0",1138,"twomse_fe",0.00395804677262321,0.0346731319987331,0.909116400579887,-0.0128472822092191,0.0453668148585221,0.777033661946333,0.303774952161169,0.151047535615898,607,""
