"panel","ex_super","condition","filter_id","filter","raw_n","spec","fs_conv","se_conv","pv_conv","fs_bc","se_robust","pv_robust","h_left","h_right","obs_h","error"
"panel_a","t","FULL","baseline","baseline",9550,"msetwo_fe",0.475687759578691,0.0604186868682682,3.45712923349977e-15,0.451375468240774,0.0659294958984803,7.57655153389918e-12,0.0730517696890962,0.153265401491158,3208,""
"panel_a","t","FULL","baseline","baseline",9550,"twomse_fe",0.555681475125026,0.0424216155764604,3.33548418960142e-39,0.433351706574021,0.0661025753475369,5.5364327176408e-11,0.146103539378192,0.306530802982315,8732,""
"panel_a","t","FULL","baseline","baseline",9550,"h020_010_fe",0.523564887351911,0.0409042700705274,1.64456251346701e-37,0.449913849023303,0.058818146455846,2.0217780767643e-14,0.2,0.1,1966,""
"panel_a","t","FULL","baseline","baseline",9550,"h030_015_fe",0.596692656988927,0.0329655131654891,3.15721056068816e-73,0.479439106090468,0.0478085935152199,1.14465890864185e-23,0.3,0.15,3294,""
"panel_a","t","FULL","baseline","baseline",9550,"h040_020_fe",0.622791371126256,0.0304039496413041,2.99695566632675e-93,0.49474291952889,0.0451979616735038,6.93449151581455e-28,0.4,0.2,4813,""
"panel_a","t","FULL","baseline","baseline",9550,"msetwo_no_fe",0.472200877314718,0.0593316962303673,1.73910512948733e-15,0.446680213584423,0.0647837039776869,5.38848412061608e-12,0.0762206768176027,0.153374422812332,3208,""
"panel_a","t","FULL","drop_av365_sum0","drop quarter-sum availability_365=0",9328,"msetwo_fe",0.446549713828396,0.0585849290073239,2.49267261160697e-14,0.420529609935279,0.0643060369612018,6.1723037184533e-11,0.06774769388993,0.154451365472594,3166,""
"panel_a","t","FULL","drop_av365_sum0","drop quarter-sum availability_365=0",9328,"twomse_fe",0.529079633349193,0.0420339721491945,2.49104569101437e-36,0.40077941285275,0.0645396507321223,5.30463779012989e-10,0.13549538777986,0.308902730945188,8536,""
"panel_a","t","FULL","drop_av365_sum0","drop quarter-sum availability_365=0",9328,"h020_010_fe",0.505945396138149,0.0401680755023005,2.22947146577311e-36,0.416448039304411,0.0561589007140202,1.21138951318422e-13,0.2,0.1,1918,""
"panel_a","t","FULL","drop_av365_sum0","drop quarter-sum availability_365=0",9328,"h030_015_fe",0.58710328983529,0.0326752700301705,3.48143909521403e-72,0.455560032576615,0.0466922058622558,1.72748957255222e-22,0.3,0.15,3214,""
