"panel","ex_super","condition","filter_id","filter","raw_n","spec","fs_conv","se_conv","pv_conv","fs_bc","se_robust","pv_robust","h_left","h_right","obs_h","error"
"panel_a","t","FULL","baseline","baseline",14294,"msetwo_fe",0.455883604500519,0.0430540470045037,3.36460961809889e-26,0.430762168428227,0.0483352587770514,5.01356452702084e-19,0.0862937658597242,0.082942156097755,2387,""
"panel_a","t","FULL","baseline","baseline",14294,"twomse_fe",0.540682234388828,0.0307708418942263,4.09040734294683e-69,0.443737894161456,0.0462963305918829,9.26985144649755e-22,0.172587531719448,0.16588431219551,5604,""
"panel_a","t","FULL","baseline","baseline",14294,"h020_010_fe",0.52729625366705,0.0312738040391347,8.76395852020243e-64,0.447066840898221,0.0456522228524636,1.20802312600753e-22,0.2,0.1,3138,""
"panel_a","t","FULL","baseline","baseline",14294,"h030_015_fe",0.585479494055499,0.0250671831625576,1.18613332686367e-120,0.482838326889442,0.037305050734644,2.57463937621782e-38,0.3,0.15,5033,""
"panel_a","t","FULL","baseline","baseline",14294,"h040_020_fe",0.613082189322217,0.0227065074293609,1.4665215950729e-160,0.507094347228438,0.034262110940569,1.45525631616918e-49,0.4,0.2,7091,""
"panel_a","t","FULL","baseline","baseline",14294,"msetwo_no_fe",0.441455280027968,0.0465638818505014,2.52734487462497e-21,0.419072551887504,0.0511402121607467,2.51469996203242e-16,0.0830177562898918,0.0818087439520479,2231,""
"panel_a","t","FULL","drop_av365_sum0","drop quarter-sum availability_365=0",13904,"msetwo_fe",0.418097810161003,0.0476935506308795,1.8457051181576e-18,0.39382898079982,0.0522539368260177,4.81537495773625e-14,0.0804688641460224,0.0816870233549829,2163,""
"panel_a","t","FULL","drop_av365_sum0","drop quarter-sum availability_365=0",13904,"twomse_fe",0.521771015617221,0.0321687966320891,3.65462466689849e-59,0.409706814058688,0.0484851787871088,2.90940077788974e-17,0.160937728292045,0.163374046709966,5397,""
"panel_a","t","FULL","drop_av365_sum0","drop quarter-sum availability_365=0",13904,"h020_010_fe",0.514465870861488,0.0319136097689436,1.82887370133393e-58,0.422258543542508,0.0462880719849732,7.34753116331076e-20,0.2,0.1,3052,""
"panel_a","t","FULL","drop_av365_sum0","drop quarter-sum availability_365=0",13904,"h030_015_fe",0.578048120724648,0.0255475559731934,2.38512217882222e-113,0.466026633075104,0.0380357254591981,1.63217852024248e-34,0.3,0.15,4894,""
"panel_a","t","FULL","drop_av365_sum0","drop quarter-sum availability_365=0",13904,"h040_020_fe",0.607565608285642,0.0231093884876797,2.43981365286006e-152,0.492808518937739,0.0349287430841136,3.34436233719199e-45,0.4,0.2,6899,""
"panel_a","t","FULL","drop_av365_sum0","drop quarter-sum availability_365=0",13904,"msetwo_no_fe",0.415077514682165,0.0482625164506447,7.94305905558965e-18,0.390811074513776,0.0528334264944803,1.39251522610744e-13,0.0777442627173414,0.0810823268610388,2155,""
"panel_a","t","FULL","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",10885,"msetwo_fe",0.57757058097918,0.0400108694367065,3.10104019873576e-47,0.552817840138158,0.0455014020425469,5.77398966958652e-34,0.117337017988096,0.0939459834902128,2070,""
"panel_a","t","FULL","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",10885,"twomse_fe",0.625791557220751,0.0310504982487317,2.48253274114013e-90,0.568927094090924,0.0444919123291093,1.93307684848402e-37,0.234674035976191,0.187891966980426,4587,""
"panel_a","t","FULL","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",10885,"h020_010_fe",0.59500964207238,0.0352359950454865,5.66416459207436e-64,0.554000943558962,0.0494894493737216,4.34703899331942e-29,0.2,0.1,2283,""
"panel_a","t","FULL","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",10885,"h030_015_fe",0.645724234071282,0.0282540044296475,1.32572035914356e-115,0.560949399443354,0.0412715286520043,4.48663938528074e-42,0.3,0.15,3583,""
"panel_a","t","FULL","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",10885,"h040_020_fe",0.668461771717072,0.025417196585768,1.93868905529024e-152,0.582276221571226,0.0381659847067055,1.49217502686063e-52,0.4,0.2,4920,""
"panel_a","t","FULL","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",10885,"msetwo_no_fe",0.571225408718061,0.040027390109615,3.32438054114834e-46,0.545906184706482,0.0452752551004114,1.77086372753757e-33,0.118607704483119,0.0904223590523967,2042,""
"panel_a","t","FULL","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",6538,"msetwo_fe",0.594617981275834,0.0643296035451964,2.39004260708959e-20,0.576133540215498,0.073068761920652,3.15006318221775e-15,0.0854378853188135,0.153046387014834,1961,""
"panel_a","t","FULL","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",6538,"twomse_fe",0.646844705210494,0.0455826786187059,1.04786560040816e-45,0.559536679311797,0.0686455685578083,3.60638068788087e-16,0.170875770637627,0.306092774029667,5652,""
"panel_a","t","FULL","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",6538,"h020_010_fe",0.619569350629994,0.0457864776638559,1.0163130016811e-41,0.570223398103565,0.0664175376437079,9.04940000609109e-18,0.2,0.1,1283,""
"panel_a","t","FULL","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",6538,"h030_015_fe",0.681659013483287,0.0376015173729594,1.89876670234973e-73,0.578836485280544,0.0546401019015709,3.19010753634718e-26,0.3,0.15,2000,""
"panel_a","t","FULL","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",6538,"h040_020_fe",0.70529677296246,0.034728535833084,1.07380070713808e-91,0.593295330525396,0.0514157601308639,8.37266874824571e-31,0.4,0.2,2822,""
"panel_a","t","FULL","host_total_listings_eq_calculated","host_total_listings_count = calculated_host_listings_count",6538,"msetwo_no_fe",0.596104380176457,0.0577164269223717,5.25601457792915e-25,0.570694439442631,0.0676284996038403,3.20975019575383e-17,0.0937125071482656,0.163565028955714,2136,""
"panel_a","t","Q1Q2","baseline","baseline",6792,"msetwo_fe",0.480571039944479,0.0592330968854768,4.92964331772871e-16,0.448002749493656,0.0676142547581521,3.45226606228176e-11,0.0914751173818824,0.107234283907999,1726,""
"panel_a","t","Q1Q2","baseline","baseline",6792,"twomse_fe",0.564632737601735,0.0436142974138736,2.47368044268318e-38,0.453874200190529,0.0679310106693457,2.3667154872316e-11,0.182950234763765,0.214468567815999,3661,""
"panel_a","t","Q1Q2","baseline","baseline",6792,"h020_010_fe",0.554086248414867,0.0446211437120425,2.09834388803715e-35,0.471812804916705,0.0673061846477447,2.38407969171295e-12,0.2,0.1,1623,""
"panel_a","t","Q1Q2","baseline","baseline",6792,"h030_015_fe",0.625677357785315,0.0347566985957681,1.89156011039285e-72,0.508029965517924,0.0534986195510268,2.17831097984618e-21,0.3,0.15,2555,""
"panel_a","t","Q1Q2","baseline","baseline",6792,"h040_020_fe",0.654938960982469,0.0314727013322709,3.53201694466963e-96,0.528355647061166,0.049413733539673,1.1037237981817e-26,0.4,0.2,3485,""
"panel_a","t","Q1Q2","baseline","baseline",6792,"msetwo_no_fe",0.500693873125971,0.0566838072984046,1.01811758088914e-18,0.470068166408933,0.0655907088919754,7.68336918011197e-13,0.0976880958688386,0.109227104375873,1729,""
"panel_a","t","Q1Q2","drop_av365_sum0","drop quarter-sum availability_365=0",6614,"msetwo_fe",0.414199397277419,0.0729344302864967,1.35432717837979e-08,0.386312715393465,0.0791713559726414,1.06381798431915e-06,0.0788254499339138,0.105846345191772,1470,""
"panel_a","t","Q1Q2","drop_av365_sum0","drop quarter-sum availability_365=0",6614,"twomse_fe",0.534435185455638,0.0464043955531079,1.08431705031411e-30,0.390523012120327,0.0737161643991271,1.17297535722138e-07,0.157650899867828,0.211692690383545,3511,""
"panel_a","t","Q1Q2","drop_av365_sum0","drop quarter-sum availability_365=0",6614,"h020_010_fe",0.539372845798283,0.045103491694238,5.85682229756176e-33,0.438789843685117,0.0673714245351313,7.36662896089955e-11,0.2,0.1,1574,""
"panel_a","t","Q1Q2","drop_av365_sum0","drop quarter-sum availability_365=0",6614,"h030_015_fe",0.618502709174154,0.0350921759515894,1.58120871887799e-69,0.487790331208933,0.0540115132344554,1.69754827546328e-19,0.3,0.15,2480,""
"panel_a","t","Q1Q2","drop_av365_sum0","drop quarter-sum availability_365=0",6614,"h040_020_fe",0.650182405357243,0.0317228688005362,2.35179598787071e-93,0.511654590486736,0.0498875047398389,1.1102642244027e-24,0.4,0.2,3385,""
"panel_a","t","Q1Q2","drop_av365_sum0","drop quarter-sum availability_365=0",6614,"msetwo_no_fe",0.458455248540655,0.0627129980141822,2.66406857356121e-13,0.425987003632133,0.071078773360977,2.05792526773742e-09,0.0875757687269066,0.107812364302528,1679,""
"panel_a","t","Q1Q2","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",5245,"msetwo_fe",0.633221398847947,0.053853136630608,6.40092526771887e-32,0.610754473693558,0.0603617629400116,4.58613145602992e-24,0.142499331689438,0.125060280175659,1502,""
"panel_a","t","Q1Q2","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",5245,"twomse_fe",0.695634801329116,0.0376817164825163,4.26934923414013e-76,0.61148859986386,0.0573174148872085,1.42974945980431e-26,0.284998663378876,0.250120560351318,4627,""
"panel_a","t","Q1Q2","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",5245,"h020_010_fe",0.640509714547897,0.050006634270241,1.469575915251e-37,0.609359051746839,0.0711557178834127,1.09264290866077e-17,0.2,0.1,1171,""
"panel_a","t","Q1Q2","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",5245,"h030_015_fe",0.691625187746339,0.0389360246571514,1.36440928660902e-70,0.60896128394173,0.0585079205467822,2.275169913844e-25,0.3,0.15,1839,""
"panel_a","t","Q1Q2","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",5245,"h040_020_fe",0.714014099066551,0.03534388923125,9.41814954446267e-91,0.617428487043763,0.0549767644936833,2.8813063700009e-29,0.4,0.2,2423,""
"panel_a","t","Q1Q2","host_listings_eq_calculated","host_listings_count = calculated_host_listings_count",5245,"msetwo_no_fe",0.637329475661282,0.0535837721939548,1.27050891174043e-32,0.612944026320692,0.0599922132960434,1.66308940847877e-24,0.146088320751388,0.135042711980182,1592,""
