"quarter","host_quarters","exact_ex_share","within2_ex_share","scraped_gt_ex_share","median_diff_ex","median_abs_diff_ex","exact_first_share","exact_current_share"
"Q124",1995,0.344862155388471,0.568922305764411,0.295184490306442,0,1,0.451127819548872,0.366917293233083
"Q224",1642,0.436662606577345,0.643118148599269,0.312457454050374,0,1,0.529232643118149,0.357490864799026
"Q323",2981,0.288829251928883,0.524656155652466,0.39041095890411,0,1,0.469641060046964,0.278430057027843
"Q324",1529,0.330935251798561,0.640941792020929,0.348536419332879,0,1,0.558534990189666,0.310660562459124
"Q423",2670,0.355056179775281,0.602247191011236,0.315259117082534,0,1,0.551685393258427,0.374157303370787
"Q424",1278,0.356807511737089,0.695618153364632,0.409233176838811,0,1,0.612676056338028,0.353677621283255
