"panel","ex_super","condition","filter_id","filter","raw_n","spec","coef_conv","se_conv","pv_conv","coef_bc","se_robust","pv_robust","h_left","h_right","obs_h","error"
"panel_a","t","FULL","baseline","baseline",9550,"msetwo_fe",-0.0916038883412789,0.0381583088759671,0.0163669847034921,-0.0970764082000345,0.0416471019955435,0.019757141310112,0.0695350433884152,0.0751624664907868,1295,""
"panel_a","t","FULL","baseline","baseline",9550,"twomse_fe",-0.0690318986796755,0.0243295918063829,0.00454877750786653,-0.115803259754845,0.0372053631356906,0.00185483545615553,0.13907008677683,0.150324932981574,3297,""
"panel_a","t","FULL","baseline","baseline",9550,"h020_010_fe",-0.0579744502782503,0.0217064971080562,0.00756630570144628,-0.0810275864808805,0.031187749841708,0.00937526261314978,0.2,0.1,1966,""
"panel_a","t","FULL","baseline","baseline",9550,"h030_015_fe",-0.036885107519108,0.0151336052391484,0.014797474439286,-0.0703100693653129,0.0220099677183368,0.00140090318473561,0.3,0.15,3294,""
"panel_a","t","FULL","baseline","baseline",9550,"h040_020_fe",-0.0296959143362051,0.0133345574473456,0.0259480010399858,-0.0616283290446223,0.0198879315643578,0.00194319108061073,0.4,0.2,4813,""
"panel_a","t","FULL","baseline","baseline",9550,"msetwo_no_fe",-0.144619027035262,0.0381762143246693,0.000151744406104909,-0.166960779218925,0.0446452182323753,0.000184222663711197,0.0898988319515954,0.11027078585324,2179,""
"panel_a","t","FULL","drop_row_previous_scrape","drop row source=previous scrape",9288,"msetwo_fe",-0.0921693263840826,0.0396337253179424,0.0200437601116028,-0.0971378377657595,0.0429716182217161,0.0237895226451828,0.0673549461801537,0.0697202480974473,1191,""
"panel_a","t","FULL","drop_row_previous_scrape","drop row source=previous scrape",9288,"twomse_fe",-0.0742790311972571,0.0257411062439978,0.00390644461788094,-0.117446591726055,0.0393639492088748,0.00284871528322953,0.134709892360307,0.139440496194895,2973,""
"panel_a","t","FULL","drop_row_previous_scrape","drop row source=previous scrape",9288,"h020_010_fe",-0.0588315575728812,0.0224189374136557,0.00868552477358223,-0.0844583715473751,0.0319469201495434,0.00820030372770838,0.2,0.1,1918,""
"panel_a","t","FULL","drop_row_previous_scrape","drop row source=previous scrape",9288,"h030_015_fe",-0.0383281791089597,0.0156012765331766,0.0140206643205834,-0.0709537829644075,0.0226407948069565,0.00172504925316931,0.3,0.15,3215,""
"panel_a","t","FULL","drop_row_previous_scrape","drop row source=previous scrape",9288,"h040_020_fe",-0.0316601984600401,0.0137196083106748,0.0210180255132784,-0.0615556863321616,0.0204047109578262,0.00255509747733621,0.4,0.2,4692,""
"panel_a","t","FULL","drop_row_previous_scrape","drop row source=previous scrape",9288,"msetwo_no_fe",-0.149190824255825,0.0398823404669499,0.000183454391580634,-0.173122644511566,0.0463763414383635,0.000189216452646173,0.0887795379565423,0.113038659268563,2176,""
"panel_a","t","FULL","drop_any_target_previous_scrape","drop any target-month source=previous scrape",9212,"msetwo_fe",-0.0933261720566106,0.0397644718951705,0.0189265877112075,-0.0986234997317581,0.0432125920259083,0.0224724524557252,0.0673024973523053,0.0714854786931981,1204,""
"panel_a","t","FULL","drop_any_target_previous_scrape","drop any target-month source=previous scrape",9212,"twomse_fe",-0.0746693511181461,0.0257222874999875,0.00369719040210129,-0.118424648338116,0.0394065477266595,0.00265404251866558,0.134604994704611,0.142970957386396,2985,""
"panel_a","t","FULL","drop_any_target_previous_scrape","drop any target-month source=previous scrape",9212,"h020_010_fe",-0.0599077488392595,0.0225567413283239,0.00791043493729172,-0.0848546164110786,0.0320666546923595,0.00814029129258056,0.2,0.1,1905,""
"panel_a","t","FULL","drop_any_target_previous_scrape","drop any target-month source=previous scrape",9212,"h030_015_fe",-0.038898912142603,0.0155966802675055,0.0126294485273397,-0.071748802540901,0.0227009871320954,0.00157443058958951,0.3,0.15,3187,""
"panel_a","t","FULL","drop_any_target_previous_scrape","drop any target-month source=previous scrape",9212,"h040_020_fe",-0.0321771397475827,0.0137252377359203,0.019058865635523,-0.062765887594088,0.0204814470911106,0.00218016630291981,0.4,0.2,4658,""
"panel_a","t","FULL","drop_any_target_previous_scrape","drop any target-month source=previous scrape",9212,"msetwo_no_fe",-0.149494902950472,0.0405490275442956,0.000227119231186462,-0.17236722653887,0.046984605632918,0.000243892404106605,0.0883206288211402,0.103594438983911,1924,""
"panel_a","t","Q1Q2","baseline","baseline",4531,"msetwo_fe",-0.0444899251184263,0.0353635284260333,0.208365103065495,-0.0475660263887753,0.038287840171634,0.214115852893673,0.159285870537609,0.103344873193599,1051,""
"panel_a","t","Q1Q2","baseline","baseline",4531,"twomse_fe",-0.0166697719133176,0.018518384306831,0.368027549991494,-0.0472289503412965,0.0307087090670027,0.124056929078766,0.318571741075218,0.206689746387198,2440,""
"panel_a","t","Q1Q2","baseline","baseline",4531,"h020_010_fe",-0.0403097104859314,0.0317117922560729,0.20368352595238,-0.0500209617795977,0.0493922311247104,0.311189458087723,0.2,0.1,1019,""
"panel_a","t","Q1Q2","baseline","baseline",4531,"h030_015_fe",-0.0189396692048557,0.0198105786327152,0.339052954069104,-0.0474437171334016,0.0320526702836231,0.138825252705489,0.3,0.15,1673,""
"panel_a","t","Q1Q2","baseline","baseline",4531,"h040_020_fe",-0.0123608703603979,0.0174194236971417,0.477950535125814,-0.0428842371335216,0.0288341788462528,0.136943258569901,0.4,0.2,2355,""
"panel_a","t","Q1Q2","baseline","baseline",4531,"msetwo_no_fe",-0.08674563497879,0.0486192689061205,0.0743940609785178,-0.0942094935482875,0.0604788531205851,0.119298168935789,0.0937051538325298,0.0783013566838872,742,""
"panel_a","t","Q1Q2","drop_row_previous_scrape","drop row source=previous scrape",4423,"msetwo_fe",-0.035207670054835,0.0396185745505455,0.374182746229344,-0.0375941302699563,0.0427528323008705,0.379218795827541,0.154147102591678,0.0843097207002284,835,""
"panel_a","t","Q1Q2","drop_row_previous_scrape","drop row source=previous scrape",4423,"twomse_fe",-0.0165234064507018,0.0201397192088078,0.411966021510494,-0.0436395246207628,0.0328810677198238,0.184444830164983,0.308294205183355,0.168619441400457,1918,""
"panel_a","t","Q1Q2","drop_row_previous_scrape","drop row source=previous scrape",4423,"h020_010_fe",-0.0367568715942122,0.0336233057065688,0.274307644700955,-0.0492054929772217,0.0517319843650247,0.341522191732435,0.2,0.1,992,""
"panel_a","t","Q1Q2","drop_row_previous_scrape","drop row source=previous scrape",4423,"h030_015_fe",-0.0177223370548753,0.0207832114124256,0.393812541560111,-0.0430192211196702,0.033556680416918,0.199847279128832,0.3,0.15,1633,""
"panel_a","t","Q1Q2","drop_row_previous_scrape","drop row source=previous scrape",4423,"h040_020_fe",-0.0117004896843054,0.0181312440343193,0.518718573671447,-0.0384334222274479,0.0300012234691864,0.200171949632539,0.4,0.2,2301,""
"panel_a","t","Q1Q2","drop_row_previous_scrape","drop row source=previous scrape",4423,"msetwo_no_fe",-0.0863291392543684,0.0507048383046634,0.0886463422197361,-0.0965166826486513,0.0627891964599182,0.124255531112069,0.095289390628608,0.0771803193477556,719,""
"panel_a","t","Q1Q2","drop_any_target_previous_scrape","drop any target-month source=previous scrape",4385,"msetwo_fe",-0.0479068733854989,0.0449268957052719,0.286274727146913,-0.0540759204651966,0.0492687370146291,0.272392008062725,0.121305945398924,0.0932934976598465,869,""
"panel_a","t","Q1Q2","drop_any_target_previous_scrape","drop any target-month source=previous scrape",4385,"twomse_fe",-0.0373048626855721,0.0280161985335763,0.183009353987965,-0.049721324138463,0.042493939015265,0.24196862490469,0.242611890797847,0.186586995319693,2119,""
