"group","n","distinct_ids","share_2023","share_2024","share_source_city_scrape","share_has_availability_t","share_host_identity_verified_t","share_host_superhost_t","share_instant_bookable_t","mean_price","median_price","mean_availability_30","mean_availability_90","mean_availability_365","mean_reviews_ltm","median_reviews_ltm","mean_days_since_last_review","median_days_since_last_review","share_no_last_review","mean_minimum_nights","median_minimum_nights","mean_review_rating","mean_calendar_lag_days","share_calendar_scraped_same_day"
"av365_0_price_missing",76213,7746,0,1,0.000432996995263275,0.559340270032672,0.813929382126409,0.0312938737485731,0.0877146943434847,NA,NA,0,0,0,0.416858016348917,0,1776.24445230933,1783,0,32.9595344626245,30,4.76259953990444,1.31211210685841e-05,0.999986878878931
"av365_0_price_observed",68520,10320,0.943724460011675,0.0562755399883246,0.068169877408056,0.599255691768827,0.816958552247519,0.0594862813776999,0.114959136018681,223.697723292469,159,0,0,0,2.01422942206655,0,1412.61855590956,1397,0,28.6432866316404,30,4.61261627572451,2.91885580852306e-05,0.999970811441915
"av365_pos_price_observed",297664,30975,0.483662787572565,0.516337212427435,0.970809368952913,0.976876612556439,0.912330681573855,0.302004945173081,0.225472344657063,276.927877942915,197,12.350673914212,49.6073055525693,228.621462454311,8.11457213502473,2,229.96338517931,79,0,25.1593407331757,30,4.73569638063999,3.35949258224037e-06,0.999996640507418
