"cutoff","distance","side","conv","conv_ci_low","conv_ci_high","h_left","h_right","n_left","n_right","error"
4.75,0,0,-0.0700501147010613,-0.127586821777527,-0.0125134076245956,0.155430467909688,0.0886639380265653,243,786,NA
4.594,0.156,-1,-0.0435745509579231,-0.175408582353099,0.0882594804372528,0.193359015051534,0.0565445484971343,35,27,NA
4.593,0.157,-1,-0.0407149257376351,-0.176112896559304,0.0946830450840334,0.194189161770858,0.05505539156575,36,26,NA
4.592,0.158,-1,-0.039351401018064,-0.178032322776152,0.0993295207400242,0.19506296164902,0.0540623410140834,36,24,NA
4.591,0.159,-1,-0.0381646828175607,-0.179949976795093,0.103620611159972,0.195983250871569,0.0532079568289288,36,23,NA
4.59,0.16,-1,-0.0381632467703029,-0.183151253275765,0.10682475973516,0.19695311996163,0.0525984370856581,36,23,NA
4.589,0.161,-1,-0.0397051422856441,-0.188169527197072,0.108759242625784,0.197975943776392,0.0522232645231805,36,23,NA
4.588,0.162,-1,-0.0433179964286406,-0.195950881087327,0.109314888230046,0.199055415939673,0.0519571621951439,36,20,NA
4.587,0.163,-1,-0.000901304883478768,-0.168388898253154,0.166586288486197,0.200195588505923,0.0403411751111524,36,14,NA
4.586,0.164,-1,0.00177949396488786,-0.170466481007075,0.174025468936851,0.201400917824284,0.0394745379081134,36,14,NA
4.585,0.165,-1,-0.00337010734804939,-0.126824189340015,0.120083974643917,0.202676317782727,0.0384608005224427,36,10,NA
4.584,0.166,-1,-0.00477526055281378,-0.127628127599319,0.118077606493692,0.204027221880913,0.0370827158704632,36,10,NA
4.583,0.167,-1,-0.0535187329505581,-6816806.80529679,6816806.69825933,0.205459655918001,0.0352013926949953,36,10,NA
4.582,0.168,-1,-0.00791361195321395,-0.129629193558887,0.113801969652459,0.206980323513673,0.0328770653800855,36,10,NA
4.581,0.169,-1,-0.00995204064881618,-0.131246967861888,0.111342886564256,0.208596707234605,0.0309779493626603,36,10,NA
4.58,0.17,-1,-0.0128765886973381,-0.133703357692857,0.10795018029818,0.210317188813289,0.0285970458755042,36,10,NA
4.579,0.171,-1,-0.0244959845807836,-347998.225057437,347998.176065467,0.212151192879708,0.0252941980090746,36,10,NA
4.578,0.172,-1,-0.0498210597739245,-0.169556513466235,0.0699143939183861,0.254418913256284,0.0964969988418572,42,80,NA
4.577,0.173,-1,-0.0529493561563986,-0.172713769651305,0.0668150573385083,0.255211379656953,0.0939465346349204,42,80,NA
4.576,0.174,-1,-0.0557240084435011,-0.187812420660479,0.0763644037734772,0.256042671399447,0.0907181097948744,42,80,NA
4.575,0.175,-1,-0.0556417700822725,-0.188997748684536,0.0777142085199912,0.256914991231177,0.0877535655345959,42,29,NA
4.574,0.176,-1,-0.0558070172118882,-0.189878068022502,0.0782640335987255,0.257830715074562,0.0835769620709953,42,29,NA
4.573,0.177,-1,-0.0549803819244834,-0.188609097194645,0.0786483333456783,0.258792409689491,0.0764734581250712,42,28,NA
4.572,0.178,-1,-0.0600873786398771,-0.187983168150162,0.0678084108704081,0.259802852573381,0.0711042047213616,42,24,NA
4.571,0.179,-1,0.0801039187142484,-0.0763136140944387,0.236521451522936,0.13887104935447,0.114671616128914,30,89,NA
4.57,0.18,-1,0.0738283578865624,-0.0787760438478011,0.226432759620926,0.139288247526937,0.111340133495379,30,85,NA
4.569,0.181,-1,0.065602718681571,-0.0822819612768095,0.213487398639952,0.139714926586739,0.107676282193114,30,84,NA
4.568,0.182,-1,0.052311102230194,-0.0902855679437636,0.194907772404152,0.14015190688429,0.103121518243246,33,81,NA
4.567,0.183,-1,0.0455579688107586,-0.0987258572999486,0.189841794921466,0.140600046873009,0.0982753543635507,33,30,NA
4.566,0.184,-1,0.051699893970588,-0.0908803732900054,0.194280161231181,0.141060247084838,0.0899224180779001,33,30,NA
4.565,0.185,-1,0.0665483323019843,-0.0727988339237555,0.205895498527724,0.141533454466787,0.0813330597683983,33,26,NA
4.839,0.089,1,-0.0464422441838621,-0.10731698659134,0.0144324982236155,0.0261560528783915,0.0299206807233972,266,367,NA
4.84,0.09,1,-0.0507548981876604,-0.113138843754263,0.0116290473789421,0.0210650648899678,0.0277910198104488,221,359,NA
4.841,0.091,1,-0.0535069857273762,-0.118790460249005,0.0117764887942531,0.0265404758490583,0.0232507090913468,272,305,NA
4.842,0.092,1,-0.0473449112955932,-0.113561006967845,0.0188711843766585,0.0255351691894866,0.0246887098443644,261,347,NA
4.843,0.093,1,0.0115247710480078,-0.0553776660227728,0.0784272081187885,0.0223390840176104,0.0344342703539059,230,503,NA
4.844,0.094,1,0.0100715022064024,-0.0582212323372041,0.0783642367500089,0.0218864816690482,0.033269254629361,219,501,NA
4.845,0.095,1,0.0326539525939864,-0.0252114410426943,0.0905193462306672,0.0229375873704987,0.0381761893861068,226,547,NA
4.846,0.096,1,0.0418559136226856,-0.01840678917482,0.102118616420191,0.0216262583956555,0.0397667816718793,200,575,NA
