"cutoff","distance","side","conv","conv_ci_low","conv_ci_high","h_left","h_right","n_left","n_right","error"
4.75,0,0,-0.0422338026295126,-0.073369278353789,-0.0110983269052361,0.255549189124463,0.113999148009866,1311,387,NA
4.494,0.256,-1,-0.00459918149528179,-0.046011839236011,0.0368134762454474,0.347910645928834,0.0693425622094857,397,244,NA
4.493,0.257,-1,-1.8836474842597e-05,-0.0427083758931118,0.0426707029434267,0.353888964808072,0.0674834302837927,404,232,NA
4.492,0.258,-1,0.00356186511632995,-0.0407126438327894,0.0478363740654493,0.359773989888701,0.0658065068400612,406,223,NA
4.491,0.259,-1,0.00606149690940894,-0.0404243091118921,0.05254730293071,0.367155748769937,0.0623323882964975,410,200,NA
4.49,0.26,-1,-0.00118118023868243,-0.0476528606626261,0.0452905001852613,0.369704124470419,0.0539725840682282,407,164,NA
4.489,0.261,-1,0.102923916935843,0.0237836390182152,0.18206419485347,0.40069908739408,0.0378187612757123,414,119,NA
4.488,0.262,-1,0.08460278794106,0.0133677406895891,0.155837835192531,0.399048131642148,0.038250430909077,408,119,NA
4.487,0.263,-1,0.0959462079080342,0.0205200297623435,0.171372386053725,0.403921733574913,0.037543368416209,408,120,NA
4.486,0.264,-1,0.0404936805516147,-0.0187888907542911,0.0997762518575206,0.39465199427294,0.0476998087409024,403,144,NA
4.485,0.265,-1,0.0489000549545755,-0.016708882358999,0.11450899226815,0.399517448820875,0.0460873743774008,404,138,NA
4.484,0.266,-1,0.0242510518496453,-0.031852787813227,0.0803548915125175,0.390796002744904,0.0532421161872454,400,151,NA
4.483,0.267,-1,0.0405612766186582,-0.0201047183355765,0.101227271572893,0.399922116228463,0.0484377348279155,399,143,NA
4.482,0.268,-1,0.0249336266324505,-0.034371817986474,0.0842390712513749,0.397883576739617,0.0501688266328961,396,146,NA
4.481,0.269,-1,0.0228489730389291,-0.0364078124030053,0.0821057584808635,0.399451509094583,0.0502626244454579,394,148,NA
4.48,0.27,-1,0.0237303290031271,-0.0355102909093147,0.0829709489155689,0.392646454839993,0.0549234794412219,389,160,NA
4.479,0.271,-1,0.0275189264885638,-0.0351410374271702,0.0901788904042977,0.397351352767142,0.05383735569786,389,153,NA
4.478,0.272,-1,0.0360562128994385,-0.0296684001505792,0.101780825949456,0.412191716961644,0.0402292282052429,387,130,NA
4.477,0.273,-1,0.0377565773713663,-0.0298715442473798,0.105384698990112,0.418180328070286,0.0396250569913586,388,130,NA
4.476,0.274,-1,0.0268991584464263,-0.0360991212001591,0.0898974380930118,0.4354528783626,0.0515165851292778,386,150,NA
4.475,0.275,-1,0.0279491986093921,-0.0348066796324698,0.090705076851254,0.445986643940237,0.0508753428009818,387,145,NA
4.474,0.276,-1,0.0284560394331045,-0.0366415390127994,0.0935536178790085,0.45254331527142,0.0502170369937842,387,145,NA
4.473,0.277,-1,-0.00886589176261495,-0.0884120754948651,0.0706802919696352,0.410412256379065,0.0594379152939626,380,163,NA
4.472,0.278,-1,-0.0100447141267191,-0.0946700000141545,0.0745805717607163,0.417712979853449,0.0583576790883158,381,163,NA
4.471,0.279,-1,-0.0125574777777554,-0.102577540362998,0.0774625848074872,0.42571214217136,0.0573404773963116,381,156,NA
4.47,0.28,-1,-0.0290650079187734,-0.121555933585694,0.063425917748147,0.422648570697201,0.0534203809803793,380,147,NA
4.469,0.281,-1,-0.0319236608667772,-0.128326172891846,0.0644788511582913,0.431662631601152,0.0527365543625994,382,144,NA
4.468,0.282,-1,-0.0366658352359383,-0.137289386630446,0.0639577161585694,0.395290599355652,0.0521998217854972,379,142,NA
4.467,0.283,-1,-0.0392904952345048,-0.14342072319673,0.0648397327277204,0.389460490734696,0.0518331423658608,378,139,NA
4.466,0.284,-1,-0.0068022743355508,-0.0930525171588888,0.0794479684877872,0.390207867905141,0.0550037222972065,374,149,NA
4.465,0.285,-1,-0.00765341994613726,-0.0965341580620803,0.0812273181698058,0.389389576916599,0.0548270797832191,374,144,NA
4.864,0.114,1,0.0216117585230865,-0.0688915947642808,0.112115111810454,0.0479115726982175,0.033311106058386,106,48,NA
4.865,0.115,1,0.0143186892457942,-0.0778932247605461,0.106530603252135,0.047042580693584,0.0341147481866476,105,50,NA
