"cutoff","distance","side","conv","conv_ci_low","conv_ci_high","bc","bc_ci_low","bc_ci_high","h_left","h_right","n_left","n_right","error"
4.75,0,0,-0.0422338026295126,-0.073369278353789,-0.0110983269052361,-0.0456082350545216,-0.0767437107787981,-0.0144727593302452,0.255549189124463,0.113999148009866,1311,387,NA
4.494,0.256,-1,-0.00459918149528179,-0.046011839236011,0.0368134762454474,-0.000407537618393413,-0.0418201953591226,0.0410051201223358,0.347910645928834,0.0693425622094857,397,244,NA
4.493,0.257,-1,-1.8836474842597e-05,-0.0427083758931118,0.0426707029434267,0.00535745592470271,-0.0373320834935665,0.048046995342972,0.353888964808072,0.0674834302837927,404,232,NA
4.492,0.258,-1,0.00356186511632995,-0.0407126438327894,0.0478363740654493,0.0101654347493708,-0.0341090741997486,0.0544399436984902,0.359773989888701,0.0658065068400612,406,223,NA
4.491,0.259,-1,0.00606149690940894,-0.0404243091118921,0.05254730293071,0.0145020628000825,-0.0319837432212186,0.0609878688213835,0.367155748769937,0.0623323882964975,410,200,NA
4.49,0.26,-1,-0.00118118023868243,-0.0476528606626261,0.0452905001852613,0.010528571574269,-0.0359431088496747,0.0570002519982127,0.369704124470419,0.0539725840682282,407,164,NA
4.489,0.261,-1,0.102923916935843,0.0237836390182152,0.18206419485347,0.119713153687619,0.0405728757699917,0.198853431605247,0.40069908739408,0.0378187612757123,414,119,NA
4.488,0.262,-1,0.08460278794106,0.0133677406895891,0.155837835192531,0.0953267758965613,0.0240917286450904,0.166561823148032,0.399048131642148,0.038250430909077,408,119,NA
4.487,0.263,-1,0.0959462079080342,0.0205200297623435,0.171372386053725,0.106152284316501,0.0307261061708099,0.181578462462191,0.403921733574913,0.037543368416209,408,120,NA
4.486,0.264,-1,0.0404936805516147,-0.0187888907542911,0.0997762518575206,0.0505824683175213,-0.00870010298838455,0.109865039623427,0.39465199427294,0.0476998087409024,403,144,NA
4.485,0.265,-1,0.0489000549545755,-0.016708882358999,0.11450899226815,0.059556147391535,-0.00605278992203955,0.12516508470511,0.399517448820875,0.0460873743774008,404,138,NA
4.484,0.266,-1,0.0242510518496453,-0.031852787813227,0.0803548915125175,0.0331205160033672,-0.0229833236595051,0.0892243556662394,0.390796002744904,0.0532421161872454,400,151,NA
4.483,0.267,-1,0.0405612766186582,-0.0201047183355765,0.101227271572893,0.0491447903730398,-0.011521204581195,0.109810785327275,0.399922116228463,0.0484377348279155,399,143,NA
4.482,0.268,-1,0.0249336266324505,-0.034371817986474,0.0842390712513749,0.0314102195916911,-0.0278952250272334,0.0907156642106155,0.397883576739617,0.0501688266328961,396,146,NA
4.481,0.269,-1,0.0228489730389291,-0.0364078124030053,0.0821057584808635,0.0286261331784335,-0.0306306522635009,0.0878829186203679,0.399451509094583,0.0502626244454579,394,148,NA
4.48,0.27,-1,0.0237303290031271,-0.0355102909093147,0.0829709489155689,0.0291628088913283,-0.0300778110211134,0.0884034288037701,0.392646454839993,0.0549234794412219,389,160,NA
4.864,0.114,1,0.0216117585230865,-0.0688915947642808,0.112115111810454,0.0220735654727946,-0.0684297878145726,0.112576918760162,0.0479115726982175,0.033311106058386,106,48,NA
4.865,0.115,1,0.0143186892457942,-0.0778932247605461,0.106530603252135,0.0131489551989557,-0.0790629588073846,0.105360869205296,0.047042580693584,0.0341147481866476,105,50,NA
4.866,0.116,1,0.00974857762791345,-0.0830909898944668,0.102588145150294,0.00763918292467805,-0.0852003845977022,0.100478750447058,0.0461227960629582,0.0349909307329181,93,57,NA
4.867,0.117,1,-0.00628161199940946,-0.136730617841406,0.124167393842587,-0.00944930077236071,-0.139898306614357,0.120999705069636,0.0496623851323194,0.0272819865834375,111,41,NA
4.868,0.118,1,-0.0125692424240669,-0.13556676109684,0.110428276248706,-0.0172993360871642,-0.140296854759938,0.105698182585609,0.0486447854534065,0.0278120058549284,98,42,NA
4.869,0.119,1,-0.0198448847639493,-0.136205337687272,0.0965155681593731,-0.0267497827664763,-0.143110235689799,0.0896106701568461,0.0475639690256235,0.0288370648580401,96,44,NA
4.87,0.12,1,-0.0242849604971227,-0.1340619862922,0.0854920652979549,-0.0324405245713981,-0.142217550366476,0.0773365012236795,0.0464525275564893,0.0297714134524491,90,45,NA
4.871,0.121,1,-0.0251114072433989,-0.125328921784445,0.075106107297647,-0.0337995196967809,-0.134017034237827,0.066417994844265,0.0449943974323052,0.0307939037349617,89,52,NA
4.872,0.122,1,-0.018479368682431,-0.110130954479465,0.0731722171146029,-0.0259675526727042,-0.117619138469738,0.0656840331243296,0.0426154480872044,0.0320871492545921,85,56,NA
4.873,0.123,1,-0.0124144095724894,-0.0981111369058864,0.0732823177609075,-0.0178717726247262,-0.103568499958123,0.0678249547086708,0.0415142325929813,0.0333927787599566,85,60,NA
4.874,0.124,1,0.00283498003170764,-0.0822749637278521,0.0879449237912674,0.000433733196867125,-0.0846762105626926,0.0855436769564268,0.0407957763916908,0.0349453585005242,85,60,NA
4.875,0.125,1,0.00538521487253932,-0.0806274496736061,0.0913978794186847,0.00769184505302527,-0.0783208194931201,0.0937045095991707,0.0391197294463752,0.0364549508425802,55,74,NA
4.876,0.126,1,0.112515675844751,-0.0625840355058149,0.287615387195318,0.133228676493637,-0.0418710348569288,0.308328387844204,0.0358752895913956,0.020279374945633,58,31,NA
4.877,0.127,1,0.0741319000882185,-0.0840677740810635,0.232331574257501,0.0917609928208141,-0.0664386813484679,0.249960666990096,0.0339788025237827,0.0211384575254488,58,34,NA
4.878,0.128,1,0.046601453844534,-0.0945048918852663,0.187707799574334,0.0633703195743553,-0.0777360261554451,0.204476665304156,0.0324185816753365,0.0221975609702573,58,41,NA
