"cutoff","distance","side","conv","conv_ci_low","conv_ci_high","bc","bc_ci_low","bc_ci_high","h_left","h_right","n_left","n_right","error"
4.75,0,0,-0.0700501147010613,-0.127586821777527,-0.0125134076245956,-0.0770475049897125,-0.134584212066178,-0.0195107979132468,0.155430467909688,0.0886639380265653,243,786,NA
4.594,0.156,-1,-0.0435745509579231,-0.175408582353099,0.0882594804372528,-0.0355219695153622,-0.167356000910538,0.0963120618798137,0.193359015051534,0.0565445484971343,35,27,NA
4.593,0.157,-1,-0.0407149257376351,-0.176112896559304,0.0946830450840334,-0.0305508635604157,-0.165948834382084,0.104847107261253,0.194189161770858,0.05505539156575,36,26,NA
4.592,0.158,-1,-0.039351401018064,-0.178032322776152,0.0993295207400242,-0.0283906747208543,-0.167071596478942,0.110290247037234,0.19506296164902,0.0540623410140834,36,24,NA
4.591,0.159,-1,-0.0381646828175607,-0.179949976795093,0.103620611159972,-0.0262757066585323,-0.168061000636065,0.115509587319,0.195983250871569,0.0532079568289288,36,23,NA
4.59,0.16,-1,-0.0381632467703029,-0.183151253275765,0.10682475973516,-0.0251737990403416,-0.170161805545804,0.119814207465121,0.19695311996163,0.0525984370856581,36,23,NA
4.589,0.161,-1,-0.0397051422856441,-0.188169527197072,0.108759242625784,-0.0263307304130904,-0.174795115324519,0.122133654498338,0.197975943776392,0.0522232645231805,36,23,NA
4.588,0.162,-1,-0.0433179964286406,-0.195950881087327,0.109314888230046,-0.0322203567730526,-0.184853241431739,0.120412527885634,0.199055415939673,0.0519571621951439,36,20,NA
4.587,0.163,-1,-0.000901304883478768,-0.168388898253154,0.166586288486197,-0.0130730088745329,-0.180560602244208,0.154414584495142,0.200195588505923,0.0403411751111524,36,14,NA
4.586,0.164,-1,0.00177949396488786,-0.170466481007075,0.174025468936851,-0.0140318951410251,-0.186277870112988,0.158214079830938,0.201400917824284,0.0394745379081134,36,14,NA
4.585,0.165,-1,-0.00337010734804939,-0.126824189340015,0.120083974643917,0.0285392254608339,-0.094914856531132,0.1519933074528,0.202676317782727,0.0384608005224427,36,10,NA
4.584,0.166,-1,-0.00477526055281378,-0.127628127599319,0.118077606493692,0.0303170945364678,-0.0925357725100376,0.153169961582973,0.204027221880913,0.0370827158704632,36,10,NA
4.583,0.167,-1,-0.0535187329505581,-6816806.80529679,6816806.69825933,0.00775670311644568,-6816806.74402136,6816806.75953476,0.205459655918001,0.0352013926949953,36,10,NA
4.582,0.168,-1,-0.00791361195321395,-0.129629193558887,0.113801969652459,0.0386124212768461,-0.0831031603288273,0.16032800288252,0.206980323513673,0.0328770653800855,36,10,NA
4.581,0.169,-1,-0.00995204064881618,-0.131246967861888,0.111342886564256,0.0466381263681484,-0.0746568008449236,0.16793305358122,0.208596707234605,0.0309779493626603,36,10,NA
4.58,0.17,-1,-0.0128765886973381,-0.133703357692857,0.10795018029818,0.0605382237216655,-0.060288545273853,0.181364992717184,0.210317188813289,0.0285970458755042,36,10,NA
4.579,0.171,-1,-0.0244959845807836,-347998.225057437,347998.176065467,0.0855462456791391,-347998.115015206,347998.286107698,0.212151192879708,0.0252941980090746,36,10,NA
4.578,0.172,-1,-0.0498210597739245,-0.169556513466235,0.0699143939183861,-0.0694438359381634,-0.189179289630474,0.0502916177541471,0.254418913256284,0.0964969988418572,42,80,NA
4.577,0.173,-1,-0.0529493561563986,-0.172713769651305,0.0668150573385083,-0.0754486871497352,-0.195213100644642,0.0443157263451716,0.255211379656953,0.0939465346349204,42,80,NA
4.576,0.174,-1,-0.0557240084435011,-0.187812420660479,0.0763644037734772,-0.0830603206608821,-0.21514873287786,0.0490280915560961,0.256042671399447,0.0907181097948744,42,80,NA
4.575,0.175,-1,-0.0556417700822725,-0.188997748684536,0.0777142085199912,-0.0828843796666045,-0.216240358268868,0.0504715989356592,0.256914991231177,0.0877535655345959,42,29,NA
4.839,0.089,1,-0.0464422441838621,-0.10731698659134,0.0144324982236155,-0.0617672161999164,-0.122641958607394,-0.000892473792438724,0.0261560528783915,0.0299206807233972,266,367,NA
4.84,0.09,1,-0.0507548981876604,-0.113138843754263,0.0116290473789421,-0.0671573606509329,-0.129541306217535,-0.00477341508433037,0.0210650648899678,0.0277910198104488,221,359,NA
4.841,0.091,1,-0.0535069857273762,-0.118790460249005,0.0117764887942531,-0.0738620757480787,-0.139145550269708,-0.00857860122644946,0.0265404758490583,0.0232507090913468,272,305,NA
4.842,0.092,1,-0.0473449112955932,-0.113561006967845,0.0188711843766585,-0.0644391246380161,-0.130655220310268,0.00177697103423557,0.0255351691894866,0.0246887098443644,261,347,NA
4.843,0.093,1,0.0115247710480078,-0.0553776660227728,0.0784272081187885,0.00813299838006051,-0.0587694386907201,0.0750354354508412,0.0223390840176104,0.0344342703539059,230,503,NA
